ID,LON_LAT,frname,year,month,month_str,area_sum,count_fires,count_roads,MO_population,aspect,veg_category,7_days_SUM_APCP,kpo,7_days_AVG_RH,7_days_AVG_TMP,7_days_AVG_WIND_SPEED,dist_to_rivers,dist_to_railway,dist_to_roads,elevation
75,103.0 53.0,Сосновское военное,2013,4,апрель,60.0,1,1,20.976861,254.3271789551,Редколесье,22.6,66.4599280823,87.2846982759,7.6825,3.0310344828,5.5081015957,22.3569036712,4.4109043095,466.2
76,103.0 53.0,Сосновское военное,2013,8,август,274.0,1,1,20.976861,255.5792236328,Редколесье,12.9,286.306065123,72.15625,23.37375,2.4625,5.5081015957,22.3569036712,4.4109043095,466.2
77,103.0 53.0,Сосновское военное,2014,4,апрель,53.0,1,1,20.976861,299.2913818359,Кустарники,18.9,166.8112887855,75.4216282895,11.2685197368,3.0361842105,5.5081015957,22.3569036712,4.4109043095,466.2
78,103.0 53.0,Сосновское военное,2015,4,апрель,122.0,1,1,20.976861,307.6942443848,Смешанный лес,7.6,100.1521888949,88.2747395833,5.2582291667,3.0041666667,5.5081015957,22.3569036712,4.4109043095,466.2
80,103.0 53.0,Усольское,2010,5,май,1689.0,1,1,20.6000512258,236.9761352539,Поля,33.49,166.5967972947,77.5980371315,12.4271602891,2.7286027639,4.4637006127,15.8651349087,1.4717583371,465.5806451613
81,103.0 53.0,Усольское,2010,10,октябрь,56.0,1,1,20.6000512258,100.5610122681,Редколесье,7.4,62.7055320253,78.0147569444,7.7770833333,2.1494805761,4.4637006127,15.8651349087,1.4717583371,465.5806451613
82,103.0 53.0,Усольское,2011,5,май,24.0,1,1,20.6000512258,37.4053573608,Поля,14.8,424.8024775795,51.36640625,18.039375,3.9,4.4637006127,15.8651349087,1.4717583371,465.5806451613
83,103.0 53.0,Усольское,2012,5,май,38.0,1,1,20.6000512258,19.7369003296,Редколесье,23.0,373.6756543831,59.9079166667,15.1676666667,4.0075,4.4637006127,15.8651349087,1.4717583371,465.5806451613
84,103.0 53.0,Усольское,2012,9,сентябрь,234.0,2,1,20.6000512258,54.2174758911,Поля,4.8,260.4772855222,77.0109375,18.15,3.23125,4.4637006127,15.8651349087,1.4717583371,465.5806451613
85,103.0 53.0,Усольское,2012,10,октябрь,20.0,1,1,20.6000512258,357.2736816406,Хвойный лес,10.0,54.3690505032,83.675,12.86,2.2625,4.4637006127,15.8651349087,1.4717583371,465.5806451613
86,103.0 53.0,Усольское,2013,4,апрель,681.0,3,3,20.6000512258,236.3168091355,Кустарники,54.4,617.3476638211,87.2846982759,7.6825,3.0310344828,4.4637006127,15.8651349087,1.4717583371,465.5806451613
87,103.0 53.0,Усольское,2013,5,май,2295.0,2,2,20.6000512258,119.9885559082,Поля,20.1,636.9012698417,61.1297916667,15.8143333333,3.9675,4.4637006127,15.8651349087,1.4717583371,465.5806451613
88,103.0 53.0,Усольское,2013,10,октябрь,28.0,1,1,20.6000512258,24.8636932373,Поля,4.3,39.5708308984,77.8614583333,5.0804166667,3.3333333333,4.4637006127,15.8651349087,1.4717583371,465.5806451613
89,103.0 53.0,Усольское,2014,4,апрель,2388.0,6,4,20.6000512258,314.9764989162,Редколесье,51.88,1005.9447962477,75.4216282895,11.2685197368,3.0361842105,4.4637006127,15.8651349087,1.4717583371,465.5806451613
90,103.0 53.0,Усольское,2014,8,август,298.0,1,1,20.6000512258,168.6900634766,Лиственный лес,30.8,483.247068478,67.775,24.87,2.88125,4.4637006127,15.8651349087,1.4717583371,465.5806451613
91,103.0 53.0,Усольское,2014,9,сентябрь,806.0,3,2,20.6000512258,142.9221050095,Поля,34.6,597.949926661,75.711328125,14.8853125,3.1875,4.4637006127,15.8651349087,1.4717583371,465.5806451613
92,103.0 53.0,Усольское,2014,10,октябрь,26.0,1,1,20.6000512258,120.5297088623,Поля,3.8,121.1026080387,72.653125,8.6875,2.6,4.4637006127,15.8651349087,1.4717583371,465.5806451613
93,103.0 53.0,Усольское,2015,5,май,71.0,1,1,20.6000512258,182.9507751465,Лиственный лес,10.9,488.9181132314,51.3828125,13.03625,3.628125,4.4637006127,15.8651349087,1.4717583371,465.5806451613
94,103.0 53.0,Усольское,2016,5,май,4516.0,1,1,20.6000512258,20.224861145,Редколесье,3.5,673.1365086253,47.43125,14.5825,3.45,4.4637006127,15.8651349087,1.4717583371,465.5806451613
95,103.0 53.0,Усольское,2017,4,апрель,92.0,1,1,20.6000512258,270.6160583496,Пастбища,14.7,60.3331510084,63.0928125,11.3615,3.29625,4.4637006127,15.8651349087,1.4717583371,465.5806451613
96,103.0 53.0,Усольское,2019,4,апрель,123.0,3,2,20.6000512258,274.9362343692,Редколесье,30.1,266.9262911056,74.636875,6.688625,3.25875,4.4637006127,15.8651349087,1.4717583371,465.5806451613
99,103.0 53.0,Черемховское,2010,6,июнь,410.0,8,3,9.2764585957,148.227263827,Поля,33.8,9674.1760462969,46.3443617725,25.164547619,2.9695115132,15.2608341608,12.5360931371,1.502904348,520.6595744681
101,103.0 53.0,Черемховское,2011,4,апрель,6695.0,29,9,9.2764585957,203.1923960564,Поля,200.7,3173.6458447021,74.3243534483,8.6090517241,3.2379310345,15.2608341608,12.5360931371,1.502904348,520.6595744681
102,103.0 53.0,Черемховское,2011,5,май,275.0,3,2,9.2764585957,107.5794685608,Редколесье,42.9,737.5013598136,51.36640625,18.039375,3.9,15.2608341608,12.5360931371,1.502904348,520.6595744681
104,103.0 53.0,Черемховское,2011,7,июль,20.0,1,1,9.2764585957,165.9637451172,Поля,28.8,715.6983227028,64.4390625,24.73,3.4875,15.2608341608,12.5360931371,1.502904348,520.6595744681
105,103.0 53.0,Черемховское,2011,10,октябрь,98.0,2,2,9.2764585957,137.313835144,Лиственный лес,52.0,215.6516831244,81.39375,11.12875,2.4875,15.2608341608,12.5360931371,1.502904348,520.6595744681
106,103.0 53.0,Черемховское,2012,4,апрель,124.0,4,1,9.2764585957,124.6286257975,Кустарники,59.4,191.8159253805,83.15078125,6.045,3.784375,15.2608341608,12.5360931371,1.502904348,520.6595744681
107,103.0 53.0,Черемховское,2012,5,май,650.0,12,6,9.2764585957,151.3712770087,Поля,142.9,5033.3252950571,59.9079166667,15.1676666667,4.0075,15.2608341608,12.5360931371,1.502904348,520.6595744681
108,103.0 53.0,Черемховское,2012,7,июль,24.0,1,1,9.2764585957,71.5650482178,Редколесье,12.2,54.1594778496,70.025,26.5175,1.9375,15.2608341608,12.5360931371,1.502904348,520.6595744681
